Designator,Mid X,Mid Y,Layer,Rotation
C1, 8.15,16.15,Bottom,90.0
C2,10.57,16.15,Bottom,270.0
C3,12.60,16.15,Bottom,90.0
C4,16.71,16.15,Bottom,90.0
C5,27.13,16.15,Bottom,90.0
C6,29.16,16.15,Bottom,90.0
C7,31.19,16.15,Bottom,90.0
C9,14.78,28.96,Bottom,0.0
C10,10.64,28.96,Bottom,0.0
D1,14.68,19.66,Bottom,270.0
IC1,11.10,26.19,Bottom,180.0
J1,28.05,21.95,Bottom,90.0
J2, 7.44,21.95,Bottom,270.0
R1,25.07,16.15,Bottom,270.0
R2,19.51,16.15,Bottom,270.0
R3,21.54,16.15,Bottom,270.0
R4,14.68,16.15,Bottom,90.0
R5,18.26,20.75,Bottom,180.0
R6,22.78,20.75,Bottom,180.0
R7, 3.76, 6.86,Bottom,180.0
